Description,Type,IOC
VBS Downloader,url,http://www.alldomaininfo.com/JJFO4P/fuck_niggers_4.hta
VBS Downloader,sha256, e820955e154e280726cb9083bea25b53397f7e28779f8171d17976e32cee3cd1
Payload,url,https://preusz.com/TAVPP/wWhrmDvBNjSqkkklgbtq.bin
Payload,sha256,e308e2a2e14fda8199468628a3b5ba983f4703edfaf060eab6ceb88564acfe9b
Payload,url,https://medino.co.in/khgqz/IDJ/RkKKcEAAkkklgbtq.bin
Payload,sha256,201a9f314f99986e881fd18233bc6c7deee7c8a92df33f27bdc8aab461934d1b
Payload,url,https://medino.co.in/khgqz/8D6VI/oxmqIQkkklgbtq.bin
Payload,sha256,493cac69ba43c4b18827da0beed872830abcffe071ce7f2c90378802196d3c45
Payload,url,https://preusz.com/AHZQA/WLnKDkjaRWxkkklgbtq.bin
Payload,sha256,ec06ef0c5901082335a299b321f16582e6f6639c2299beefa1981eb777b34896
Payload,url,https://daftar.site/X8DS/qlHedeXQMGdWFkkklgbtq.bin
Payload,sha256,e73af48a49c537f019c474c3a5f3fc8f4ae434caa9dd4126daeb476add244062
VBS Downloader,url,http://www.alldomaininfo.com/DBMZ/fuck_niggers_53.hta
VBS Downloader,sha256, c57d4823cdf56c91751d73a047812589c67974b9a3c32e7ab83a36f2caf11471
Payload,url,http://skyviewonlineltd.com/UVI4/byUxDGdVUTjYkkklgbtq.bin
Payload,sha256,93efd751aa87f9bb2dc22adcf47a72f6893a27c49fe074750454d4aacd13b94c
Payload,url,http://csminas.ddns.net/YQ8/SHnfDvhKBJfqkkklgbtq.bin
Payload,sha256,6006ab5e4fbab4d984c251d0b683040058df4ba02c51af93049617c17bb9586e
Payload,url,https://fotofokusstudio.in/privacy-policy/H00O/qbDmDjyqEYkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/I233TS/fuck_niggers_68.hta
VBS Downloader,sha256, 290e0bf76e2e9495d058c545330c7663ab834153bd1dedebfe3b1f3121549f81
Payload,url,http://csminas.ddns.net/J7PBTO/EMocQzaDURLkkklgbtq.bin
Payload,sha256,c13443798f618fba8cbfe70c4b39e165e0d88dbcb9eaadcb8329536c13ce5e0b
Payload,url,http://csminas.ddns.net/4OV38/AiDdvUXfcLakkklgbtq.bin
Payload,sha256,4f9dfeddf30b5048bcd3747af2fe6029b0ca1eb1b8cfe2b91abf58641336abe9
Payload,url,https://daftar.site/D3OTCI/EcAmXjukwtkkklgbtq.bin
Payload,sha256,314efd786c7fac45d357e162b862e6321dc5cf49ea7b379104722b033643e4b1
VBS Downloader,url,http://www.alldomaininfo.com/3X7MV/fuck_niggers_31.hta
VBS Downloader,sha256, be1d28d5e19b960d1b00c8dfb609c759f43ba3772635cfc7bdcd894713a7449a
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/6PYOE/OPqwWCRkkklgbtq.bin
Payload,url,https://daftar.site/Q894/vkVQMkkklgbtq.bin
Payload,sha256,019e4a2eaa89bbc5dd4dd542baa34e32fde1bd36038b3761aad409dec278e528
Payload,url,http://csminas.ddns.net/6648VX/CNLXYIkkklgbtq.bin
Payload,sha256,d42a9de7251a976e19b8a789154d56ab4d36fa0a5dfc5af83f31847111587453
VBS Downloader,url,http://www.alldomaininfo.com/XSNKK/fuck_niggers_54.hta
VBS Downloader,sha256, 8195e64bba27ffbc9ff25b4b0b4daa0f4b5161d99961dc1a1755c1581f480e80
Payload,url,https://daftar.site/ECH/nkpMumkkklgbtq.bin
Payload,sha256,56b942d0d8bb9d4d2d0c9bb1d1dbed1a52a6fd22bc069e4b6df33bd933c2b622
Payload,url,https://medino.co.in/khgqz/O10ASZ/uRaCOkkklgbtq.bin
Payload,url,https://bpnjabar.tams-app.com/52U8/iruiPfVnkkklgbtq.bin
Payload,sha256,4230b78bf642482038b6fe2355c951c13fe8b9c97068273a5aab06356865c8e1
VBS Downloader,url,http://www.alldomaininfo.com/EXYX/fuck_niggers_70.hta
VBS Downloader,sha256, a2c3b47760cc69f1c83c7eb7c01a760657e70d245348b28f28f98540d90990b8
Payload,url,https://preusz.com/N05/AiDdvUXfcLakkklgbtq.bin
Payload,url,https://daftar.site/IBUQJ/nuzKWnIDaLMOkkklgbtq.bin
Payload,sha256,03031415064b651e65b8a83d06eca4e6a83a23854b9b504c011a02feac993dd0
VBS Downloader,url,http://www.alldomaininfo.com/WBD9ZA/fuck_niggers_40.hta
VBS Downloader,sha256, 5c1fac7324757d341f5af08571fb7466d1fb6ad8df6534aaf4e66dc98cef4c50
Payload,url,https://daftar.site/H0RG1P/CIUEUPZrKYkFuZAkkklgbtq.bin
Payload,sha256,96122fb865d9d5e150fdbd1c04240e786a3c16528cd33748464eade4ea6d9986
Payload,url,http://skyviewonlineltd.com/8LZOE/ZIjtDcrLmNbNAphkkklgbtq.bin
Payload,sha256,8e7e96c5c81defe501dcb530e7cc3773df9f2d2601e7a559cdea4286b920f915
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/UG5/HLYbnfSQpxkkklgbtq.bin
Payload,sha256,176d3e38c6782bf313d6d5f23a14f2e7692181ee50a7b2a2b130caae82e46148
Payload,url,http://skyviewonlineltd.com/V9UP/YPLRekkklgbtq.bin
Payload,sha256,99b02ee3c8256eb95c745119609a976ced1d887e6475f6bd3768fb9711e75554
VBS Downloader,url,http://www.alldomaininfo.com/D4PV9I/fuck_niggers_93.hta
VBS Downloader,sha256, 53afcdfeaa87d5ea83d14d0652b89c324a5a137c72402e5c49cbdec675490c4d
Payload,url,https://daftar.site/QXJ/jkxrApqQZKYFBMkkklgbtq.bin
Payload,sha256,4f51250275e99ccbad0bb320ec64adf4b1fd513fc99dfb119e67ed868d68733d
Payload,url,https://bpnjabar.tams-app.com/3XN5V/ilfwuakkklgbtq.bin
Payload,url,https://daftar.site/ZCZR/NwQXoKlvYkkklgbtq.bin
